538247.5,-67.2789,530589.2,-68.3645,532320.7,-68.2809
536279.5,-67.1859,529363.8,-68.3986,531207.8,-68.3091
535919.2,-67.1663,528650.9,-68.3336,530469.7,-68.2309
538525.4,-66.7164,530797,-67.913,532668.1,-67.8237
535582.3,-66.8056,528984,-67.9223,530912.5,-67.8283
535126.4,-67.5756,527813.3,-68.7494,529698.3,-68.6559
534320.6,-66.8804,527212.6,-68.0877,528977.7,-68.0133
535138.4,-66.8899,527897.6,-68.1355,529555,-68.0662
537020.6,-66.831,530186.3,-68.006,532033.3,-67.9151
533313.9,-67.5344,526097.3,-68.6775,527842.5,-68.5652
535542.6,-66.7295,528757.6,-67.9914,530641.7,-67.9206
531710.5,-67.029,525354,-68.3542,527366.3,-68.2819
535335.3,-67.014,527976.5,-68.1109,529761.6,-68.0161
535729.5,-67.0046,528679.6,-68.2529,530430.4,-68.1504
535299.7,-67.9147,528968.4,-69.1346,530848.7,-69.0209
534584.4,-67.5773,527782.2,-68.8212,529716.1,-68.7265
536521.7,-66.3159,529795.4,-67.5314,531688.8,-67.4721
534865.8,-66.732,527537.5,-67.8172,529193,-67.696
534893.9,-66.6338,528091.6,-67.9178,529935,-67.826
535946.9,-67.0561,528603.7,-68.2494,530221.3,-68.1593
536839.2,-66.7295,529392.9,-67.8722,531096.6,-67.7845
531017.6,-67.1439,524502.2,-68.3259,526375.4,-68.2278
532579.4,-67.2121,526239.5,-68.4691,528140.1,-68.3799
533628.4,-67.0582,526326.8,-68.212,527966.6,-68.0932
537601.1,-67.5832,530496.5,-68.7863,532370,-68.6892
531374.3,-67.0934,523960.5,-68.2323,525747.2,-68.1206
535817.1,-67.4534,528898.9,-68.5902,530571.5,-68.4907
535450.1,-67.5326,528877.5,-68.7162,530739.9,-68.6105
531668.1,-67.4039,524705.7,-68.6495,526395.2,-68.5405
537850.3,-66.4665,530597.3,-67.7072,532295.2,-67.6182
533810.7,-67.6154,527004.4,-68.9109,528846.1,-68.8295
535319.4,-67.5084,528336.6,-68.7035,530192.4,-68.6129
537686.9,-67.2252,530987.8,-68.3792,532621.7,-68.2874
535721.4,-67.1841,528686.2,-68.3388,530408.4,-68.2369
537143.2,-68.1484,529893.1,-69.202,531716.2,-69.0816
